date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:16	2846/2846	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/login8.html	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/login8.html	(from )
20:23:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Oct%202021%2014:23:16%20GMT	http://brandio.io/robots.txt		(from )
20:23:19	140930/140930	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/css/bootstrap.min.css	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/css/bootstrap.min.css	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:19	36599/36599	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/css/fontawesome-all.min.css	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/css/fontawesome-all.min.css	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:21	43411/43411	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/css/iofrm-style.css	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/css/iofrm-style.css	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:21	10481/10481	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/css/iofrm-theme8.css	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/css/iofrm-theme8.css	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:21	7568/7568	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/index.html	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/index.html	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:22	3569/3569	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2008%20Oct%202021%2014:23:21%20GMT	http://brandio.io/envato/iofrm/html/images/logo-light.svg	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/images/logo-light.svg	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:23	31372/31372	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2008%20Oct%202021%2014:23:22%20GMT	http://brandio.io/envato/iofrm/html/images/graphic4.svg	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/images/graphic4.svg	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:23	2920/2920	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/register8.html	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/register8.html	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:24	3593/3593	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/forget8.html	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/forget8.html	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:25	20337/20337	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/js/popper.min.js	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/js/popper.min.js	(from http://brandio.io/envato/iofrm/html/login8.html)
20:23:25	86927/86927	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2018%20Jul%202021%2009:07:09%20GMT	http://brandio.io/envato/iofrm/html/js/jquery.min.js	C:/Users/Dell/Downloads/login/brandio.io/envato/iofrm/html/js/jquery.min.js	(from http://brandio.io/envato/iofrm/html/login8.html)
